loan_id,customer_name,phone,segment,monthly_income,loan_amount,outstanding,emi,tenure_months,current_dpd,missed_payments_3m
L00304,Dev Rao,9286617999,salaried,41680.0,39100.0,16262.0,1825.0,24,0,0
L00305,Nikhil Iyer,9383416632,salaried,37847.0,52800.0,19645.0,9856.0,6,27,1
L00306,Divya Iyer,9604051727,salaried,45102.0,76500.0,27657.0,7140.0,12,90,2
L00307,Rahul Khan,9324080977,student,19808.0,17200.0,2326.0,2140.0,9,72,2
L00308,Arjun Iyer,9582953583,salaried,47164.0,55800.0,4126.0,5208.0,12,0,1
L00309,Nikhil Khan,9772503729,student,12693.0,16100.0,3896.0,751.0,24,0,0
L00310,Zoya Sharma,9224966247,student,12870.0,10500.0,8073.0,653.0,18,0,0
L00311,Arjun Patel,9185674222,salaried,63950.0,90000.0,89214.0,11200.0,9,0,0
L00312,Rahul Das,9918943454,student,12145.0,27500.0,25633.0,3422.0,9,0,0
L00313,Vikram Rao,9686888954,student,12339.0,8300.0,4391.0,516.0,18,13,0
L00314,Arjun Sharma,9578285354,student,15196.0,25900.0,14381.0,3223.0,9,0,0
L00315,Priya Iyer,9811821243,student,20452.0,50200.0,17512.0,9371.0,6,63,2
L00316,Rahul Singh,9627498444,student,15020.0,35600.0,27955.0,4430.0,9,0,0
L00317,Meera Rao,9559149663,student,11877.0,30100.0,23373.0,11237.0,3,0,0
L00318,Priya Gupta,9732890294,salaried,51236.0,83000.0,70721.0,15493.0,6,0,1
L00319,Dev Iyer,9132422415,student,20197.0,51500.0,46388.0,6409.0,9,0,0
L00320,Kabir Das,9645701790,salaried,53409.0,58900.0,27249.0,3665.0,18,0,0
L00321,Ananya Iyer,9503681574,salaried,28730.0,40300.0,31375.0,2508.0,18,0,1
L00322,Ananya Patel,9408419361,salaried,35465.0,33400.0,27257.0,6235.0,6,0,1
L00323,Divya Khan,9361059780,student,15114.0,25200.0,8645.0,3136.0,9,0,0
L00324,Isha Nair,9684191438,salaried,55083.0,81500.0,76022.0,30427.0,3,0,0
L00325,Rahul Khan,9463926461,salaried,62849.0,69300.0,9676.0,4312.0,18,38,1
L00326,Zoya Gupta,9547927415,salaried,41740.0,90000.0,89510.0,16800.0,6,0,2
L00327,Tara Iyer,9818484201,salaried,31173.0,40000.0,31263.0,2489.0,18,0,1
L00328,Aarav Khan,9423914579,salaried,42115.0,49800.0,6903.0,2324.0,24,0,0
L00329,Rahul Bose,9267091925,salaried,46224.0,38200.0,25725.0,2377.0,18,0,0
L00330,Nikhil Rao,9837880818,student,11136.0,17800.0,1468.0,3323.0,6,0,0
L00331,Ananya Khan,9271796631,salaried,58604.0,73700.0,57610.0,3439.0,24,0,1
L00332,Rahul Nair,9391650936,student,18743.0,26700.0,21607.0,1661.0,18,65,2
L00333,Kabir Iyer,9647470680,salaried,49224.0,53700.0,33417.0,5012.0,12,0,0
L00334,Rahul Sharma,9848237025,salaried,33136.0,79800.0,68949.0,3724.0,24,0,0
L00335,Aarav Bose,9260033017,student,15615.0,44100.0,6306.0,2058.0,24,0,0
L00336,Aarav Patel,9291809089,salaried,45037.0,78600.0,24533.0,29344.0,3,0,0
L00337,Divya Das,9389768370,student,6877.0,14500.0,6430.0,677.0,24,0,0
L00338,Tara Das,9288784594,salaried,42170.0,90000.0,8130.0,5600.0,18,0,0
L00339,Isha Patel,9769170353,student,12308.0,36900.0,17557.0,6888.0,6,0,0
L00340,Nikhil Sharma,9182018300,salaried,41758.0,84900.0,25636.0,15848.0,6,0,0
L00341,Sana Khan,9880268152,student,17130.0,46700.0,19759.0,2906.0,18,55,1
L00342,Ananya Singh,9888171413,salaried,43819.0,90000.0,40846.0,16800.0,6,0,2
L00343,Sana Gupta,9870868547,salaried,42073.0,90000.0,79690.0,11200.0,9,0,1
L00344,Ananya Khan,9365794817,salaried,19831.0,32800.0,10064.0,2041.0,18,0,0
L00345,Vikram Sharma,9202788589,salaried,34270.0,24100.0,21667.0,2249.0,12,0,1
L00346,Priya Gupta,9482880366,salaried,41843.0,22600.0,10276.0,1055.0,24,0,1
L00347,Sana Sharma,9401119570,salaried,36770.0,62300.0,22516.0,23259.0,3,0,0
L00348,Nikhil Nair,9963123744,student,15249.0,26500.0,13976.0,4947.0,6,69,2
L00349,Priya Bose,9668526083,salaried,43021.0,65300.0,29180.0,3047.0,24,0,0
L00350,Divya Das,9949932296,student,16632.0,31900.0,9395.0,2977.0,12,0,0
L00351,Kabir Iyer,9743425199,salaried,45740.0,86000.0,45369.0,16053.0,6,102,2
L00352,Sana Sharma,9200660781,student,19228.0,49800.0,9672.0,9296.0,6,43,1
L00353,Meera Sharma,9162045056,salaried,43934.0,33900.0,13029.0,4219.0,9,0,0
L00354,Aarav Das,9141841915,salaried,45046.0,47900.0,28141.0,4471.0,12,0,0
L00355,Tara Rao,9634006112,salaried,65626.0,90000.0,39846.0,16800.0,6,0,0
L00356,Isha Iyer,9281538949,salaried,17165.0,45000.0,37472.0,4200.0,12,92,2
L00357,Dev Nair,9990170140,salaried,20981.0,62700.0,18427.0,7803.0,9,0,0
L00358,Divya Gupta,9219395856,salaried,38482.0,90000.0,87415.0,8400.0,12,119,2
L00359,Arjun Sharma,9952224604,salaried,45174.0,90000.0,71594.0,33600.0,3,0,0
L00360,Isha Patel,9700875689,salaried,53281.0,68500.0,66391.0,6393.0,12,59,1
L00361,Vikram Khan,9152608025,salaried,50677.0,76200.0,64483.0,3556.0,24,0,1
L00362,Priya Gupta,9456370572,student,18065.0,21100.0,3903.0,7877.0,3,0,0
L00363,Zoya Das,9383983070,student,14513.0,29300.0,16119.0,5469.0,6,0,0
L00364,Rahul Bose,9575705326,student,12427.0,35400.0,7486.0,2203.0,18,0,2
L00365,Tara Rao,9216755295,salaried,47209.0,64300.0,53196.0,6001.0,12,0,0
L00366,Rohan Bose,9216511386,student,14803.0,28000.0,16939.0,1742.0,18,0,0
L00367,Divya Singh,9725318479,salaried,48272.0,59900.0,17987.0,5591.0,12,0,1
L00368,Sana Bose,9991278094,salaried,38262.0,35400.0,33032.0,2203.0,18,0,0
L00369,Rahul Rao,9346463527,student,23141.0,22900.0,3651.0,2137.0,12,77,4
L00370,Rahul Rao,9938736174,salaried,46327.0,29900.0,17512.0,11163.0,3,40,1
L00371,Dev Bose,9410379222,salaried,45016.0,90000.0,66149.0,5600.0,18,0,0
L00372,Dev Rao,9402298239,student,19420.0,29300.0,3103.0,3646.0,9,0,0
L00373,Nikhil Singh,9181322988,student,18559.0,48000.0,29662.0,17920.0,3,0,0
L00374,Sana Das,9480993843,student,17770.0,39200.0,32344.0,4878.0,9,22,2
L00375,Rohan Gupta,9548170802,student,20999.0,20600.0,2352.0,2564.0,9,0,0
L00376,Sana Nair,9697393043,student,18541.0,17400.0,9337.0,6496.0,3,0,0
L00377,Vikram Rao,9242351076,salaried,41945.0,90000.0,26607.0,4200.0,24,3,0
L00378,Rohan Das,9269823950,student,18548.0,21500.0,14615.0,4013.0,6,6,1
L00379,Tara Rao,9488881380,student,17363.0,48300.0,7861.0,9016.0,6,0,0
L00380,Nikhil Bose,9162683482,salaried,34670.0,29500.0,27736.0,3671.0,9,0,0
L00381,Zoya Singh,9229007999,salaried,74489.0,90000.0,80999.0,5600.0,18,0,0
L00382,Sana Iyer,9666167639,salaried,66621.0,90000.0,20401.0,5600.0,18,83,2
L00383,Sana Bose,9958464899,salaried,40059.0,43600.0,15570.0,2713.0,18,0,1
L00384,Isha Bose,9615665983,salaried,40637.0,48400.0,29439.0,9035.0,6,0,0
L00385,Arjun Singh,9230484279,student,22916.0,66700.0,48835.0,3113.0,24,0,1
L00386,Priya Singh,9569698437,salaried,22102.0,25700.0,12092.0,1599.0,18,0,1
L00387,Meera Nair,9745160042,salaried,43597.0,68700.0,13635.0,8549.0,9,0,0
L00388,Vikram Nair,9277281842,salaried,33026.0,52200.0,7775.0,4872.0,12,0,1
L00389,Rahul Patel,9620592416,student,16048.0,18200.0,18196.0,6795.0,3,63,2
L00390,Tara Singh,9168725622,salaried,25798.0,62900.0,30355.0,3914.0,18,34,1
L00391,Priya Iyer,9663166943,salaried,35856.0,87100.0,76553.0,4065.0,24,0,0
L00392,Meera Bose,9282077756,student,17588.0,25400.0,12910.0,3161.0,9,72,2
L00393,Divya Bose,9149296696,salaried,49395.0,90000.0,83362.0,8400.0,12,0,0
L00394,Nikhil Das,9687366760,salaried,50010.0,51600.0,6882.0,6421.0,9,0,1
L00395,Vikram Iyer,9225457644,student,15795.0,8100.0,1282.0,3024.0,3,0,0
L00396,Meera Patel,9718409316,salaried,55256.0,90000.0,83984.0,8400.0,12,110,2
L00397,Aarav Rao,9544135741,salaried,35397.0,90000.0,85511.0,5600.0,18,90,3
L00398,Nikhil Nair,9434798318,student,19577.0,11700.0,4083.0,546.0,24,35,1
L00399,Aarav Sharma,9178605833,salaried,44872.0,45800.0,17743.0,2137.0,24,81,2
L00400,Isha Bose,9636181596,student,16995.0,30500.0,14635.0,3796.0,9,81,2
